scientific_name,climate_zone,season,watering_adjustment,sunlight_adjustment,special_notes,
Ocimum tenuiflorum,tropical,summer,Increase watering,Provide afternoon shade,Protect from extreme heat,
Aloe vera,arid,summer,Reduce watering,Full sun exposure,Avoid excess moisture,
Moringa oleifera,tropical,monsoon,Reduce watering,None,Ensure drainage,
Murraya koenigii,subtropical,winter,Reduce watering,Full sun,Protect from frost,
Hibiscus rosa-sinensis,tropical,summer,Increase watering,Partial shade,Encourage flowering,
Rosa indica,temperate,winter,Reduce watering,Full sun,Prune in winter,
Jasminum sambac,tropical,monsoon,Moderate watering,Partial sun,Prevent root rot,
Mentha spicata,temperate,summer,Increase watering,Partial shade,Prevent drying,
Cymbopogon citratus,tropical,summer,Increase watering,Full sun,Harvest regularly,
Withania somnifera,arid,winter,Minimal watering,Full sun,Dormant phase,
Tinospora cordifolia,tropical,monsoon,Moderate watering,Partial shade,Provide support,
Bacopa monnieri,tropical,summer,Increase watering,Partial shade,Keep soil moist,
Ficus religiosa,tropical,summer,Weekly watering,Full sun,Large canopy,
Ficus benghalensis,tropical,summer,Weekly watering,Full sun,Requires space,
Tulipa gesneriana,temperate,winter,Minimal watering,Full sun,Bulb dormancy,
Saraca asoca,tropical,summer,Increase watering frequency,Provide partial shade,Protect young plants from heat stress
Saraca asoca,tropical,monsoon,Reduce watering,Filtered sunlight,Ensure good drainage to prevent root rot
Saraca asoca,tropical,winter,Moderate watering,Full morning sun,Protect from cold winds
Saraca asoca,subtropical,summer,Moderate watering,Partial shade recommended,Monitor soil moisture closely
Saraca asoca,subtropical,monsoon,Reduce watering,Filtered sunlight,Avoid water stagnation
Saraca asoca,subtropical,winter,Low watering,Full sun,Frost protection may be needed
Saraca asoca,temperate,summer,Moderate watering,Full sun,Ensure mulch to retain moisture
Saraca asoca,temperate,monsoon,Low watering,Full sun,Good drainage essential
Saraca asoca,temperate,winter,Minimal watering,Full sun,Protect roots from frost
Terminalia arjuna,tropical,summer,Increase watering deeply,Full sun,Deep watering supports bark health
Terminalia arjuna,tropical,monsoon,Reduce watering,Full sun,Ensure soil drains freely
Terminalia arjuna,tropical,winter,Moderate watering,Full sun,Cold tolerant once established
Terminalia arjuna,subtropical,summer,Increase watering,Full sun,Mulch helps retain moisture
Terminalia arjuna,subtropical,monsoon,Low watering,Full sun,Avoid prolonged waterlogging
Terminalia arjuna,subtropical,winter,Low watering,Full sun,Minimal care required
Terminalia arjuna,temperate,summer,Moderate watering,Full sun,Protect young saplings
Terminalia arjuna,temperate,monsoon,Low watering,Full sun,Drainage is critical
Terminalia arjuna,temperate,winter,Minimal watering,Full sun,Hardy tree once mature
Phyllanthus emblica,tropical,summer,Moderate watering,Full sun,Avoid drought stress during fruiting
