scientific_name,light_requirement,watering_frequency,soil_type,temperature_range,humidity_preference,indoor_outdoor,pot_or_ground,growth_speed,expected_height,beginner_mistakes,toxicity_notes
Ocimum tenuiflorum,Full Sun,Every 2–3 days,Loamy soil,18–35°C,Medium,both,pot,Moderate,0.5–1 m,Overwatering,None
Aloe vera,Bright Sun,Every 10–14 days,Sandy soil,15–35°C,Low,indoor,pot,Slow,0.6 m,Overwatering,None
Moringa oleifera,Full Sun,Weekly,Well-drained soil,25–40°C,Low,outdoor,ground,Very fast,10–12 m,Neglecting pruning,None
Murraya koenigii,Full Sun,Weekly,Loamy soil,20–35°C,Medium,outdoor,ground,Moderate,4–6 m,Cold exposure,None
Hibiscus rosa-sinensis,Full Sun,Every 3–4 days,Loamy soil,18–35°C,Medium,outdoor,ground,Moderate,2–3 m,Underwatering,None
Rosa indica,Full Sun,Every 3–4 days,Well-drained soil,15–30°C,Medium,outdoor,ground,Moderate,1–2 m,Improper pruning,None
Jasminum sambac,Partial Sun,Weekly,Loamy soil,18–30°C,Medium,outdoor,ground,Moderate,1–2 m,Lack of sunlight,None
Mentha spicata,Partial Sun,Every 2 days,Moist soil,10–30°C,High,both,pot,Fast,0.3–0.6 m,Letting it spread,None
Cymbopogon citratus,Full Sun,Weekly,Well-drained soil,20–35°C,Medium,outdoor,ground,Fast,1–1.5 m,Waterlogging,None
Withania somnifera,Full Sun,Weekly,Sandy soil,20–35°C,Low,outdoor,ground,Moderate,0.5–1.5 m,Overwatering,Avoid in pregnancy
Tinospora cordifolia,Partial Sun,Weekly,Well-drained soil,20–35°C,Medium,outdoor,ground,Moderate,Climbing length,No support,None
Bacopa monnieri,Partial Sun,Every 2 days,Moist soil,18–30°C,High,both,pot,Slow,0.2–0.3 m,Dry soil,None
Ficus religiosa,Full Sun,Weekly,Well-drained soil,20–40°C,Medium,outdoor,ground,Slow,20–30 m,Planting near buildings,None
Ficus benghalensis,Full Sun,Weekly,Well-drained soil,20–40°C,Medium,outdoor,ground,Slow,20–25 m,Limited space,None
Tulipa gesneriana,Full Sun,Weekly,Well-drained soil,10–25°C,Low,outdoor,ground,Moderate,0.4–0.6 m,Overwatering,Bulbs toxic
Saraca asoca,partial shade,moderate,deep loamy well-drained,20–35°C,medium,outdoor,ground,slow,10–15 m,Overwatering young trees,None
Terminalia arjuna,full sun,moderate,sandy loam well-drained,20–40°C,low,outdoor,ground,moderate,20–25 m,Planting in compact soil,None
Phyllanthus emblica,full sun,moderate,light to medium loam,15–40°C,medium,outdoor,ground,moderate,8–10 m,Neglecting pruning,None
Justicia adhatoda,partial shade,moderate,loamy soil,15–35°C,medium,outdoor,ground,fast,2–3 m,Waterlogging roots,None
Asparagus racemosus,partial shade,moderate,sandy loam,20–35°C,medium,both,ground,moderate,1–2 m,Poor drainage,None
Andrographis paniculata,full sun,low,well-drained soil,20–35°C,low,outdoor,ground,fast,0.6–1 m,Excess fertilization,None
Boerhavia diffusa,full sun,low,sandy loam,20–40°C,low,outdoor,ground,fast,0.3–0.5 m,Overwatering,None
Eclipta prostrata,full sun,moderate,moist loamy soil,20–35°C,high,outdoor,ground,fast,0.4–0.6 m,Allowing soil to dry,None
Gymnema sylvestre,partial shade,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,3–5 m,No support structure,None
Terminalia chebula,full sun,moderate,well-drained loam,20–40°C,low,outdoor,ground,moderate,15–20 m,Ignoring spacing,None
Terminalia bellirica,full sun,moderate,deep loam,20–40°C,low,outdoor,ground,moderate,20–25 m,Poor drainage,None
Picrorhiza kurroa,partial shade,moderate,moist humus-rich soil,5–20°C,high,outdoor,ground,slow,0.3–0.5 m,Exposure to heat,None
Berberis aristata,partial shade,low,well-drained soil,10–30°C,medium,outdoor,ground,slow,2–3 m,Overwatering,None
Rubia cordifolia,partial shade,moderate,well-drained soil,15–35°C,medium,outdoor,ground,moderate,3–5 m,No climbing support,None
Cyperus rotundus,full sun,low,sandy loam,20–40°C,low,outdoor,ground,fast,0.3–0.4 m,Overwatering,None
Pueraria tuberosa,full sun,moderate,deep loamy soil,20–35°C,medium,outdoor,ground,moderate,5–10 m,Shallow soil,None
Abutilon indicum,full sun,moderate,loamy soil,20–35°C,medium,outdoor,ground,moderate,1–2 m,Irregular pruning,None
Sida cordifolia,full sun,low,well-drained soil,20–35°C,low,outdoor,ground,moderate,0.6–1 m,Overwatering,None
Plumbago zeylanica,full sun,low,well-drained soil,20–35°C,low,outdoor,ground,moderate,1–1.5 m,Handling roots improperly,Toxic if misused
Solanum xanthocarpum,full sun,low,well-drained soil,20–35°C,low,outdoor,ground,moderate,1–1.5 m,Ignoring thorns,Mild toxicity
Mimusops elengi,full sun,moderate,deep loamy soil,20–35°C,medium,outdoor,ground,slow,10–15 m,Overwatering young trees,None
Bauhinia variegata,full sun,moderate,well-drained loam,15–35°C,medium,outdoor,ground,moderate,8–12 m,Neglecting pruning,None
Clitoria ternatea,full sun to partial shade,moderate,well-drained loam,20–35°C,medium,both,ground,fast,2–4 m,No climbing support,None
Ricinus communis,full sun,low,well-drained soil,20–40°C,low,outdoor,ground,fast,2–4 m,Seed ingestion,Toxic seeds
Leptadenia reticulata,partial shade,moderate,well-drained sandy loam,20–35°C,medium,outdoor,ground,moderate,4–6 m,Lack of support,None
Swertia chirayita,partial shade,moderate,humus-rich moist soil,5–20°C,high,outdoor,ground,slow,0.3–0.6 m,Heat exposure,None
Echinops echinatus,full sun,low,sandy loam,20–35°C,low,outdoor,ground,moderate,0.6–1 m,Handling spines,Toxic if overused
Baliospermum montanum,partial shade,moderate,well-drained soil,20–35°C,medium,outdoor,ground,moderate,2–3 m,Self-medication,Toxic roots
Celastrus paniculatus,partial shade,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,6–10 m,No trellis,None
Cassia fistula,full sun,moderate,deep loam,20–40°C,medium,outdoor,ground,moderate,10–15 m,Overwatering,None
Vachellia nilotica,full sun,low,sandy loam,20–40°C,low,outdoor,ground,moderate,5–10 m,Ignoring thorns,None
Alstonia scholaris,full sun,moderate,well-drained soil,20–35°C,medium,outdoor,ground,moderate,20–25 m,Transplant shock,None
Clerodendrum serratum,partial shade,moderate,loamy soil,20–35°C,medium,outdoor,ground,moderate,2–3 m,Overwatering,None
Senna tora,full sun,low,well-drained soil,20–35°C,low,outdoor,ground,fast,0.5–1 m,Excess irrigation,None
Hemidesmus indicus,partial shade,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,2–3 m,Root disturbance,None
Vitex negundo,full sun,low,well-drained soil,20–35°C,low,outdoor,ground,moderate,3–5 m,Overwatering,None
Commiphora wightii,full sun,low,rocky sandy soil,25–40°C,low,outdoor,ground,slow,2–3 m,Overharvesting resin,None
Cissampelos pareira,partial shade,moderate,well-drained soil,20–35°C,medium,outdoor,ground,moderate,2–4 m,Lack of support,None
Tribulus terrestris,full sun,low,sandy soil,20–40°C,low,outdoor,ground,fast,0.3–0.5 m,Handling spines,None
Pluchea lanceolata,full sun,moderate,moist loam,20–35°C,medium,outdoor,ground,moderate,1–2 m,Poor drainage,None
Convolvulus pluricaulis,full sun,low,well-drained sandy loam,20–35°C,low,outdoor,ground,moderate,0.3–0.5 m,Overwatering,None
Valeriana jatamansi,partial shade,moderate,humus-rich moist soil,5–20°C,high,outdoor,ground,slow,0.4–0.8 m,Heat exposure,None
Cyperus scariosus,full sun,low,sandy loam,20–40°C,low,outdoor,ground,moderate,0.5–0.7 m,Overwatering,None
Phyllanthus niruri,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,fast,0.4–0.6 m,Allowing soil to dry,None
Asteracantha longifolia,full sun,moderate,moist loam,20–35°C,medium,outdoor,ground,fast,0.6–1 m,Neglecting drainage,None
Coleus forskohlii,full sun,moderate,well-drained sandy loam,20–35°C,medium,outdoor,ground,moderate,0.6–1 m,Waterlogging tubers,None
Solanum nigrum,full sun,moderate,well-drained soil,20–35°C,medium,outdoor,ground,fast,0.3–0.6 m,Using unripe berries,Mild toxicity
Fumaria indica,partial shade,low,well-drained loam,15–30°C,medium,outdoor,ground,fast,0.3–0.5 m,Overwatering,None
Viola odorata,partial shade,moderate,moist humus-rich soil,5–20°C,high,outdoor,ground,slow,0.15–0.25 m,Direct harsh sun,None
Cinnamomum tamala,partial shade,moderate,deep loamy soil,15–35°C,medium,outdoor,ground,slow,10–15 m,Water stress,None
Piper longum,partial shade,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,3–5 m,Lack of support,None
Piper chaba,partial shade,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,4–6 m,Overexposure to sun,None
Mucuna pruriens,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,fast,4–6 m,Handling pods bare-handed,Toxic hairs
Desmostachya bipinnata,full sun,low,sandy soil,20–40°C,low,outdoor,ground,moderate,1–1.5 m,Excess irrigation,None
Saccharum officinarum,full sun,high,deep loamy soil,20–35°C,high,outdoor,ground,fast,3–4 m,Water stress,None
Symphocos racemosa,partial shade,moderate,well-drained loam,15–35°C,medium,outdoor,ground,slow,8–12 m,Unsustainable bark harvest,None
Callicarpa macrophylla,partial shade,moderate,well-drained loam,15–35°C,medium,outdoor,ground,moderate,2–3 m,Overwatering,None
Piper cubeba,partial shade,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,3–5 m,Lack of support,None
Mucuna monosperma,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,moderate,3–15 m,Lack of support,None
Epipremnum aureum,bright indirect light,moderate,well-drained potting mix,18–35°C,medium,both,pot,fast,2–5 m,Overwatering,Mild toxicity
Dracaena trifasciata,low to bright indirect light,low,well-drained sandy mix,18–35°C,low,both,pot,slow,0.5–1 m,Overwatering,Mild toxicity
Dypsis lutescens,bright indirect light,moderate,loamy well-drained soil,18–35°C,high,both,pot,moderate,2–3 m,Low humidity,None
Spathiphyllum wallisii,low to medium light,moderate,rich well-drained soil,18–30°C,high,indoor,pot,moderate,0.5–0.7 m,Underwatering,Toxic to pets
Chlorophytum comosum,bright indirect light,moderate,well-drained soil,18–35°C,medium,both,pot,fast,0.3–0.5 m,Irregular watering,None
Ficus elastica,bright indirect light,moderate,well-drained loam,18–35°C,medium,both,pot,moderate,2–3 m,Overwatering,Mild toxicity
Zamioculcas zamiifolia,low to medium light,low,well-drained sandy soil,18–35°C,low,indoor,pot,slow,0.6–1 m,Overwatering,Toxic
Crassula ovata,bright light,low,gritty succulent mix,18–35°C,low,both,pot,slow,0.6–1 m,Overwatering,Mild toxicity
Codiaeum variegatum,bright light,moderate,well-drained loam,20–35°C,high,both,ground,moderate,1–2 m,Low humidity,Toxic sap
Anthurium andraeanum,bright indirect light,moderate,airy organic mix,18–30°C,high,indoor,pot,slow,0.4–0.6 m,Low humidity,Toxic
Aglaonema commutatum,low to medium light,moderate,well-drained potting mix,18–35°C,medium,indoor,pot,slow,0.6–1 m,Cold exposure,Mild toxicity
Aloe vera,bright light,low,sandy succulent soil,18–40°C,low,both,pot,slow,0.4–0.6 m,Overwatering,None
Ocimum basilicum,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,pot,fast,0.3–0.6 m,Allowing flowering,None
Bougainvillea glabra,full sun,low,well-drained sandy soil,20–40°C,low,outdoor,ground,fast,4–8 m,Excess watering,Thorns
Ixora coccinea,full sun to partial shade,moderate,acidic well-drained soil,20–35°C,high,outdoor,ground,moderate,1–1.5 m,Alkaline soil,None
Hibiscus rosa-sinensis,full sun,moderate,well-drained loam,20–35°C,medium,outdoor,ground,fast,2–3 m,Irregular pruning,None
Kalanchoe blossfeldiana,bright light,low,well-drained succulent mix,18–30°C,low,indoor,pot,slow,0.3–0.4 m,Overwatering,Toxic to pets
Coleus scutellarioides,bright indirect light,moderate,well-drained soil,18–35°C,medium,outdoor,ground,fast,0.4–0.6 m,Direct harsh sun,Mild toxicity
Petunia hybrida,full sun,moderate,well-drained soil,15–30°C,medium,outdoor,ground,fast,0.3–0.4 m,Low sunlight,None
Portulaca grandiflora,full sun,low,sandy well-drained soil,20–40°C,low,outdoor,ground,fast,0.2–0.3 m,Overwatering,None
Epipremnum pinnatum,bright indirect light,moderate,well-drained potting mix,18–35°C,medium,both,pot,fast,2–5 m,Overwatering,Mild toxicity
Philodendron hederaceum,low to bright indirect light,moderate,airy organic mix,18–35°C,medium,indoor,pot,fast,2–4 m,Cold drafts,Toxic
Monstera deliciosa,bright indirect light,moderate,well-drained loam,18–35°C,high,indoor,pot,moderate,2–3 m,Low humidity,Toxic
Aglaonema pink,low to medium light,moderate,well-drained potting mix,18–35°C,medium,indoor,pot,slow,0.6–1 m,Direct sun,Mild toxicity
Nephrolepis exaltata,bright indirect light,frequent,moist loamy soil,18–30°C,high,indoor,pot,moderate,0.6–1 m,Dry air,None
Calathea orbifolia,bright indirect light,moderate,rich airy mix,18–30°C,high,indoor,pot,slow,0.6–0.8 m,Low humidity,None
Dieffenbachia seguine,bright indirect light,moderate,well-drained loam,18–35°C,medium,indoor,pot,moderate,1–1.5 m,Cold exposure,Toxic sap
Dracaena sanderiana,low to medium light,low,well-drained soil,18–35°C,medium,indoor,pot,slow,0.6–1 m,Overwatering,Toxic
Schefflera arboricola,bright indirect light,moderate,well-drained loam,18–35°C,medium,indoor,pot,moderate,1.5–2 m,Low light,Mild toxicity
Chamaedorea seifrizii,bright indirect light,moderate,well-drained loam,18–32°C,high,indoor,pot,slow,1.5–2 m,Dry air,None
Ficus lyrata,bright indirect light,moderate,well-drained loam,18–35°C,medium,indoor,pot,slow,2–3 m,Moving plant,Mild toxicity
Syngonium podophyllum,bright indirect light,moderate,well-drained soil,18–35°C,medium,indoor,pot,fast,1.5–2 m,Direct sun,Toxic
Peperomia obtusifolia,bright indirect light,low,well-drained mix,18–30°C,medium,indoor,pot,slow,0.3–0.4 m,Overwatering,None
Ficus microcarpa,bright indirect light,moderate,well-drained loam,18–35°C,medium,indoor,pot,slow,1–2 m,Root pruning,Mild toxicity
Chrysalidocarpus lutescens,bright indirect light,moderate,well-drained loam,18–35°C,high,indoor,pot,moderate,1.5–2 m,Low humidity,None
Tradescantia pallida,bright light,moderate,well-drained soil,18–35°C,medium,both,pot,fast,0.3–0.5 m,Low light,None
Begonia rex,bright indirect light,moderate,light airy mix,18–30°C,high,indoor,pot,slow,0.3–0.4 m,Wet leaves,Mild toxicity
Dracaena marginata,bright indirect light,low,well-drained soil,18–35°C,low,indoor,pot,slow,1.5–2 m,Overwatering,Toxic
Pilea peperomioides,bright indirect light,moderate,well-drained soil,18–30°C,medium,indoor,pot,moderate,0.3–0.4 m,Low light,None
Fittonia albivenis,low to medium light,frequent,moist airy mix,18–30°C,high,indoor,pot,fast,0.15–0.25 m,Dry air,None
Parthenocissus tricuspidata,full sun to partial shade,moderate,well-drained loam,15–35°C,medium,outdoor,ground,fast,10–15 m,No pruning,None
Hedera helix,bright indirect light,moderate,well-drained soil,15–30°C,medium,indoor,pot,moderate,2–5 m,Overwatering,Toxic
